,fit_time,score_time,test_f1_macro,train_f1_macro,test_accuracy,train_accuracy,test_f1_class_1,train_f1_class_1,test_f1_class_2,train_f1_class_2,test_f1_class_3,train_f1_class_3,test_f1_class_4,train_f1_class_4,test_f1_class_5,train_f1_class_5
0,125.10038638114929,24.69089436531067,0.4631178833209361,0.6760119757452707,0.4608695652173913,0.6767149758454106,0.7866323907455014,0.930327868852459,0.42519685039370075,0.6118787008792392,0.4222585924713585,0.6661187589891103,0.4606060606060605,0.6427672955974844,0.22089552238805968,0.5289672544080605
1,125.61970925331116,24.463188409805298,0.4783322021702629,0.6767973645953415,0.4826086956521739,0.677584541062802,0.8300000000000002,0.9297796002050231,0.4517133956386292,0.6159668408722293,0.46519524617996605,0.6651574398024286,0.4741641337386017,0.6485133020344288,0.17058823529411765,0.5245696400625978
2,125.54862451553345,24.964564085006714,0.4507096189726287,0.6699636792580702,0.45217391304347826,0.6710144927536232,0.8279301745635911,0.9293394777265745,0.4334828101644245,0.6062343246148334,0.3860869565217391,0.6596965969659696,0.39490445859872614,0.6417112299465241,0.21114369501466276,0.5128367670364501
3,122.41895318031311,23.991990327835083,0.4624211343544798,0.6741191608087801,0.4617391304347826,0.6742995169082125,0.8514851485148515,0.9299820466786356,0.4000000000000001,0.6100843351875113,0.4230118443316413,0.6562947799385874,0.4668769716088328,0.6488860997803576,0.17073170731707318,0.5253485424588086
4,122.99260306358337,23.913206338882446,0.49190808940035147,0.6755646642814425,0.48695652173913045,0.6765217391304348,0.8282828282828283,0.9298515104966719,0.4309559939301973,0.6155231406446966,0.4529616724738676,0.662847790507365,0.48297213622291024,0.6437144662034112,0.26436781609195403,0.5258864135550675
5,122.96020174026489,23.9412944316864,0.4761936639551522,0.6737647956193343,0.4791304347826087,0.6746859903381642,0.8495145631067962,0.9287909836065573,0.4424242424242424,0.6118574243238402,0.43214285714285716,0.6648815653964985,0.44512195121951226,0.640303701360329,0.21176470588235297,0.5229903034094464
6,123.91739010810852,24.172017335891724,0.4887145848881264,0.670842603764046,0.49217391304347824,0.6714975845410628,0.8714285714285714,0.930089628681178,0.4343891402714932,0.6077586206896552,0.4463971880492092,0.6574778852088048,0.4876543209876544,0.640856153604029,0.20370370370370372,0.5180307306365631
7,123.69092774391174,24.16356635093689,0.46438333637426277,0.6735388974721958,0.46956521739130436,0.673816425120773,0.8308457711442786,0.9266666666666666,0.4350453172205438,0.6076313894888409,0.4607329842931937,0.6611875898911034,0.36065573770491804,0.6550218340611353,0.23463687150837986,0.5171870072532325
8,125.70195937156677,24.76427674293518,0.4658866218866363,0.6742616524861238,0.46608695652173915,0.6751690821256039,0.802030456852792,0.931457800511509,0.42857142857142855,0.6120906801007557,0.4417391304347826,0.6622761885161556,0.38436482084690554,0.6449184441656212,0.2727272727272727,0.5205651491365777
9,124.88699316978455,24.24104380607605,0.49140964657658265,0.6722657874020441,0.49043478260869566,0.673623188405797,0.8354430379746834,0.9314227226202662,0.46676970633693976,0.6123038066029226,0.44833625218914186,0.6604234527687297,0.4698795180722891,0.63653603034134,0.23661971830985917,0.5206429246769619
